key,source,en,zh
get_project_info,,Get general information about the Godot project, including name, version, and description.,获取 Godot 项目的总体信息，包括名称、版本和描述。
get_project_settings,,Get project settings. Optionally filter by a prefix.,获取项目设置。可选择按前缀过滤。
list_project_tests,,Discover runnable project tests under the Godot project's test directories. Reports Python integration tests and GUT unit tests, including whether each test is currently runnable.,发现 Godot 项目测试目录下的可运行项目测试。报告 Python 集成测试和 GUT 单元测试，包括每个测试当前是否可运行。
run_project_test,,Run a single project test script. Python integration tests are executed with python. GUT unit tests are executed through Godot headless when addons/gut is available.,运行单个项目测试脚本。Python 集成测试使用 python 执行。GUT 单元测试在 addons/gut 可用时通过 Godot 无头模式执行。
run_project_tests,,Discover and run multiple project tests from a directory. Reuses the same framework filters as list_project_tests and aggregates pass/fail counts.,从目录中发现并运行多个项目测试。使用与 list_project_tests 相同的框架过滤器，并汇总通过/失败计数。
list_project_input_actions,,List project InputMap actions stored in ProjectSettings, including serialized input events.,列出存储在 ProjectSettings 中的项目 InputMap 动作，包括序列化的输入事件。
upsert_project_input_action,,Create or update a project InputMap action in ProjectSettings and save project.godot.,在 ProjectSettings 中创建或更新项目 InputMap 动作并保存 project.godot。
remove_project_input_action,,Remove a project InputMap action from ProjectSettings and save project.godot.,从 ProjectSettings 中移除项目 InputMap 动作并保存 project.godot。
list_project_autoloads,,List project autoload entries with resolved path, singleton flag, and project setting order.,列出项目自动加载条目，包括已解析的路径、单例标志和项目设置顺序。
list_project_global_classes,,List project global script classes registered through class_name metadata.,列出通过 class_name 元数据注册的项目全局脚本类。
get_class_api_metadata,,Get typed API metadata for an engine ClassDB class or a project global script class.,获取引擎 ClassDB 类或项目全局脚本类的类型化 API 元数据。
inspect_csharp_project_support,,Inspect C# / Mono project support files such as .csproj and .sln, including target frameworks, assembly metadata, and references.,检查 C# / Mono 项目支持文件（如 .csproj 和 .sln），包括目标框架、程序集元数据和引用。
compare_render_screenshots,,Compare two screenshot images and report pixel differences, RMSE, and threshold-based match status.,比较两张截图图像并报告像素差异、RMSE 和基于阈值的匹配状态。
inspect_tileset_resource,,Inspect a TileSet resource and summarize its sources, atlas tiles, and scene tiles.,检查 TileSet 资源并汇总其来源、图集瓦片和场景瓦片。
list_project_resources,,List all resource files in the project (.tres, .res, .png, .ogg, etc.).,列出项目中的所有资源文件（.tres、.res、.png、.ogg 等）。
create_resource,,Create a new Godot resource file (.tres). Supports common resource types.,创建新的 Godot 资源文件（.tres）。支持常见的资源类型。
get_project_structure,,Get project structure and file organization.,获取项目结构和文件组织。
reimport_resources,,Reimport project resources.,重新导入项目资源。
get_import_metadata,,Get resource import metadata.,获取资源导入元数据。
get_resource_uid_info,,Get resource UID information.,获取资源 UID 信息。
fix_resource_uid,,Fix resource UID issues.,修复资源 UID 问题。
get_resource_dependencies,,Get resource dependencies.,获取资源依赖关系。
scan_missing_resource_dependencies,,Scan for missing resource dependencies.,扫描缺失的资源依赖。
scan_cyclic_resource_dependencies,,Scan for cyclic resource dependencies.,扫描循环资源依赖。
detect_broken_scripts,,Detect broken scripts in the project.,检测项目中的损坏脚本。
audit_project_health,,Audit project health and integrity.,审计项目健康和完整性。
create_scene,,Create a new Godot scene with a root node. The scene is saved to the specified path.,创建一个新的 Godot 场景并包含根节点。场景保存到指定路径。
save_scene,,Save the current scene to disk. If no path is provided, saves to the current scene's path.,将当前场景保存到磁盘。如果未提供路径，则保存到当前场景的路径。
open_scene,,Open a scene file from the project. Closes the current scene if one is open.,从项目中打开场景文件。如果当前有打开的场景，则先关闭它。
get_current_scene,,Get information about the currently open scene, including name, path, and root node type.,获取当前打开场景的信息，包括名称、路径和根节点类型。
get_scene_structure,,Get the complete structure of the current scene as a tree. Returns node types, names, and hierarchy.,以树形结构获取当前场景的完整结构。返回节点类型、名称和层级关系。
list_project_scenes,,List all scene files (.tscn) in the project. Returns paths relative to res://.,列出项目中所有场景文件（.tscn）。返回相对于 res:// 的路径。
list_open_scenes,,List scene tabs currently open in the Godot editor.,列出 Godot 编辑器中当前打开的场景标签页。
close_scene_tab,,Close the active scene tab, or activate a specified scene tab and close it.,关闭当前活动的场景标签页，或激活指定的场景标签页然后关闭它。
create_node,,Create a new node in the Godot scene tree. Returns the node path and type.,在 Godot 场景树中创建新节点。返回节点路径和类型。
delete_node,,Delete a node from the Godot scene tree. This operation is destructive and cannot be undone.,从 Godot 场景树中删除节点。此操作是破坏性的，无法撤销。
update_node_property,,Update a property of a specific node. Supports common property types with automatic type conversion.,更新特定节点的属性。支持常见属性类型并自动进行类型转换。
batch_update_node_properties,,Update multiple node properties inside one editor UndoRedo action. Useful for transaction-style scene edits that should undo in a single step.,在一个编辑器 UndoRedo 操作中更新多个节点属性。适用于需要在单步中撤销的事务式场景编辑。
